density,freq,condition,run,risk_score
LOW,FAST,baseline,1,240
LOW,FAST,baseline,2,1292
LOW,FAST,baseline,3,1322
LOW,FAST,baseline,4,0
LOW,FAST,baseline,5,352
LOW,FAST,baseline,6,202
LOW,FAST,baseline,7,412
LOW,FAST,baseline,8,262
LOW,FAST,baseline,9,824
LOW,FAST,baseline,10,184
LOW,FAST,baseline,11,58
LOW,FAST,baseline,12,186
LOW,FAST,baseline,13,170
LOW,FAST,baseline,14,108
LOW,FAST,baseline,15,0
LOW,FAST,baseline,16,504
LOW,FAST,baseline,17,0
LOW,FAST,baseline,18,590
LOW,FAST,baseline,19,172
LOW,FAST,baseline,20,718
LOW,FAST,baseline,21,0
LOW,FAST,baseline,22,614
LOW,FAST,baseline,23,78
LOW,FAST,baseline,24,100
LOW,FAST,baseline,25,282
LOW,FAST,baseline,26,364
LOW,FAST,baseline,27,0
LOW,FAST,baseline,28,0
LOW,FAST,baseline,29,0
LOW,FAST,baseline,30,0
LOW,FAST,ai,1,468
LOW,FAST,ai,2,0
LOW,FAST,ai,3,0
LOW,FAST,ai,4,320
LOW,FAST,ai,5,0
LOW,FAST,ai,6,468
LOW,FAST,ai,7,778
LOW,FAST,ai,8,86
LOW,FAST,ai,9,0
LOW,FAST,ai,10,0
LOW,FAST,ai,11,0
LOW,FAST,ai,12,246
LOW,FAST,ai,13,268
LOW,FAST,ai,14,20
LOW,FAST,ai,15,0
LOW,FAST,ai,16,1494
LOW,FAST,ai,17,786
LOW,FAST,ai,18,94
LOW,FAST,ai,19,680
LOW,FAST,ai,20,0
LOW,FAST,ai,21,58
LOW,FAST,ai,22,120
LOW,FAST,ai,23,198
LOW,FAST,ai,24,202
LOW,FAST,ai,25,324
LOW,FAST,ai,26,384
LOW,FAST,ai,27,0
LOW,FAST,ai,28,422
LOW,FAST,ai,29,126
LOW,FAST,ai,30,838
LOW,MID,baseline,1,106
LOW,MID,baseline,2,96
LOW,MID,baseline,3,630
LOW,MID,baseline,4,370
LOW,MID,baseline,5,170
LOW,MID,baseline,6,202
LOW,MID,baseline,7,0
LOW,MID,baseline,8,0
LOW,MID,baseline,9,0
LOW,MID,baseline,10,318
LOW,MID,baseline,11,276
LOW,MID,baseline,12,310
LOW,MID,baseline,13,170
LOW,MID,baseline,14,0
LOW,MID,baseline,15,0
LOW,MID,baseline,16,164
LOW,MID,baseline,17,120
LOW,MID,baseline,18,0
LOW,MID,baseline,19,900
LOW,MID,baseline,20,224
LOW,MID,baseline,21,442
LOW,MID,baseline,22,396
LOW,MID,baseline,23,1164
LOW,MID,baseline,24,0
LOW,MID,baseline,25,0
LOW,MID,baseline,26,14
LOW,MID,baseline,27,400
LOW,MID,baseline,28,232
LOW,MID,baseline,29,70
LOW,MID,baseline,30,340
LOW,MID,ai,1,718
LOW,MID,ai,2,74
LOW,MID,ai,3,0
LOW,MID,ai,4,864
LOW,MID,ai,5,262
LOW,MID,ai,6,558
LOW,MID,ai,7,696
LOW,MID,ai,8,102
LOW,MID,ai,9,40
LOW,MID,ai,10,416
LOW,MID,ai,11,0
LOW,MID,ai,12,296
LOW,MID,ai,13,488
LOW,MID,ai,14,78
LOW,MID,ai,15,122
LOW,MID,ai,16,418
LOW,MID,ai,17,0
LOW,MID,ai,18,208
LOW,MID,ai,19,212
LOW,MID,ai,20,1524
LOW,MID,ai,21,318
LOW,MID,ai,22,54
LOW,MID,ai,23,1030
LOW,MID,ai,24,0
LOW,MID,ai,25,0
LOW,MID,ai,26,240
LOW,MID,ai,27,0
LOW,MID,ai,28,140
LOW,MID,ai,29,54
LOW,MID,ai,30,256
LOW,SLOW,baseline,1,230
LOW,SLOW,baseline,2,38
LOW,SLOW,baseline,3,46
LOW,SLOW,baseline,4,374
LOW,SLOW,baseline,5,0
LOW,SLOW,baseline,6,206
LOW,SLOW,baseline,7,748
LOW,SLOW,baseline,8,0
LOW,SLOW,baseline,9,276
LOW,SLOW,baseline,10,0
LOW,SLOW,baseline,11,508
LOW,SLOW,baseline,12,218
LOW,SLOW,baseline,13,136
LOW,SLOW,baseline,14,128
LOW,SLOW,baseline,15,230
LOW,SLOW,baseline,16,1394
LOW,SLOW,baseline,17,0
LOW,SLOW,baseline,18,512
LOW,SLOW,baseline,19,608
LOW,SLOW,baseline,20,0
LOW,SLOW,baseline,21,0
LOW,SLOW,baseline,22,274
LOW,SLOW,baseline,23,226
LOW,SLOW,baseline,24,0
LOW,SLOW,baseline,25,0
LOW,SLOW,baseline,26,378
LOW,SLOW,baseline,27,160
LOW,SLOW,baseline,28,254
LOW,SLOW,baseline,29,708
LOW,SLOW,baseline,30,178
LOW,SLOW,ai,1,0
LOW,SLOW,ai,2,238
LOW,SLOW,ai,3,602
LOW,SLOW,ai,4,0
LOW,SLOW,ai,5,0
LOW,SLOW,ai,6,138
LOW,SLOW,ai,7,0
LOW,SLOW,ai,8,522
LOW,SLOW,ai,9,172
LOW,SLOW,ai,10,1914
LOW,SLOW,ai,11,142
LOW,SLOW,ai,12,0
LOW,SLOW,ai,13,170
LOW,SLOW,ai,14,0
LOW,SLOW,ai,15,258
LOW,SLOW,ai,16,0
LOW,SLOW,ai,17,440
LOW,SLOW,ai,18,416
LOW,SLOW,ai,19,264
LOW,SLOW,ai,20,0
LOW,SLOW,ai,21,144
LOW,SLOW,ai,22,620
LOW,SLOW,ai,23,0
LOW,SLOW,ai,24,0
LOW,SLOW,ai,25,0
LOW,SLOW,ai,26,0
LOW,SLOW,ai,27,276
LOW,SLOW,ai,28,496
LOW,SLOW,ai,29,0
LOW,SLOW,ai,30,320
BASE,FAST,baseline,1,300
BASE,FAST,baseline,2,62
BASE,FAST,baseline,3,154
BASE,FAST,baseline,4,0
BASE,FAST,baseline,5,0
BASE,FAST,baseline,6,72
BASE,FAST,baseline,7,322
BASE,FAST,baseline,8,372
BASE,FAST,baseline,9,418
BASE,FAST,baseline,10,160
BASE,FAST,baseline,11,74
BASE,FAST,baseline,12,130
BASE,FAST,baseline,13,214
BASE,FAST,baseline,14,128
BASE,FAST,baseline,15,334
BASE,FAST,baseline,16,168
BASE,FAST,baseline,17,0
BASE,FAST,baseline,18,0
BASE,FAST,baseline,19,286
